URL,H,S,T,R (score),Predicted
https://transfer.com/send,0.8545739585136224,0.2,0.0,0.402,Threat
https://verify.com/check,0.8304820237218407,0.2,0.0,0.392,Missed
https://portal.com/access,0.7804820237218406,0.2,0.0,0.372,Missed
https://login.com/user,0.7369256948050225,0.2,0.0,0.355,Missed
https://update.com/now,0.8304820237218407,0.2,0.0,0.392,Missed
https://confirm.com/details,0.728494268295688,0.2,0.0,0.351,Missed
https://wallet.com/info,0.7804820237218406,0.2,0.0,0.372,Missed
https://auth.com/signin,0.75,0.2,0.0,0.36,Missed
https://secure.com/validate,0.7304820237218406,0.2,0.0,0.352,Missed
https://account.com/activity,0.7113377341556092,0.2,0.0,0.345,Missed
https://service.com/invoice,0.7739488137502335,0.2,0.0,0.37,Missed
https://billing.com/payment,0.7739488137502335,0.2,0.0,0.37,Missed
https://support.com/ticket,0.7739488137502335,0.2,0.0,0.37,Missed
https://banking.com/session,0.8194033592047789,0.2,0.0,0.388,Missed
https://shop.com/order,0.6875,0.2,0.0,0.335,Missed
https://prize.com/claim,0.792481250360578,0.2,0.0,0.377,Missed
https://reward.com/get,0.7804820237218406,0.2,0.0,0.372,Missed
https://notify.com/alert,0.7804820237218406,0.2,0.0,0.372,Missed
https://manage.com/plan,0.7304820237218406,0.2,0.0,0.352,Missed
https://cloud.com/drive,0.681370139249467,0.2,0.0,0.333,Missed
https://ab.com/p,0.646240625180289,0.2,0.0,0.318,Missed
https://xy.com/go,0.646240625180289,0.2,0.0,0.318,Missed
https://cd.com/in,0.5629072918469556,0.2,0.0,0.285,Missed
https://ef.com/ok,0.646240625180289,0.2,0.0,0.318,Missed
https://gh.com/do,0.646240625180289,0.2,0.0,0.318,Missed
https://goog1e.com/,0.6616098361677539,0.2,0.0,0.325,Missed
https://micros0ft.com/,0.8097253141506577,0.2,0.0,0.384,Missed
https://app1e.com/id,0.7369256948050225,0.2,0.0,0.355,Missed
https://arnaz0n.com/,0.7739488137502335,0.2,0.0,0.37,Missed
https://faceb00k.com/,0.8129072918469556,0.2,0.0,0.385,Missed
https://paypa1.com/send,0.7304820237218406,0.2,0.0,0.352,Missed
https://twitter0.com/,0.7971804688852168,0.2,0.0,0.379,Missed
https://lnkedin.com/in,0.8194033592047789,0.2,0.0,0.388,Missed
https://netf1ix.com/,0.8648579046593243,0.2,0.0,0.406,Threat
https://dropb0x.com/,0.8194033592047789,0.2,0.0,0.388,Missed
https://yourfiledownload.net/file,0.9210459299447973,0.2,0.0,0.428,Threat
https://freegiftcards.net/claim,0.8637055999866514,0.2,0.0,0.405,Threat
https://winprize.net/verify,0.771240625180289,0.2,0.0,0.368,Missed
https://claimmyprize.net/now,0.90625,0.2,0.0,0.423,Threat
https://getfreecoins.net/earn,0.8125,0.2,0.0,0.385,Missed
https://downloadnow.net/setup,0.7515597321633474,0.2,0.0,0.361,Missed
https://clicktoearn.net/go,0.8433893155687964,0.2,0.0,0.397,Missed
https://fastcash.net/apply,0.771240625180289,0.2,0.0,0.368,Missed
https://easyloan.net/form,0.771240625180289,0.2,0.0,0.368,Missed
https://urgentnotice.net/act,0.7771146483360875,0.2,0.0,0.371,Missed
https://customerservicecenterassistance.com/help,0.8663291045396165,0.2,0.0,0.407,Threat
https://onlineaccountverificationportal.com/,0.9171820722450719,0.2,0.0,0.427,Threat
https://bankingsupportcenterlogin.com/auth,0.9838496668666907,0.2,0.0,0.454,Threat
https://securefiledeliverynetwork.com/get,0.9708343651052516,0.2,0.0,0.448,Threat
https://alertnotificationcenter.com/info,0.8574770837740399,0.2,0.0,0.403,Threat
